time_s,J1,J2,J3,J4,J5,J6
1.3666666666666667,2.8025002,0.149677,-0.5989515,0.0,-0.8221678,-2.0345552
1.3708333333333333,2.8025002,0.14946477,-0.5988418,0.0,-0.82248974,-2.0345552
1.375,2.8025002,0.14923455,-0.59872234,0.0,-0.8228393,-2.0345552
1.3791666666666667,2.8025002,0.14898592,-0.5985928,0.0,-0.8232175,-2.0345552
1.3833333333333333,2.8025002,0.14871836,-0.59845275,0.0,-0.82362515,-2.0345552
1.3875,2.8025005,0.14843139,-0.59830153,0.0,-0.8240633,-2.0345552
1.3916666666666666,2.8025005,0.14812456,-0.59813875,0.0,-0.8245329,-2.0345552
1.3958333333333333,2.8025005,0.1477975,-0.597964,0.0,-0.8250348,-2.0345552
1.4,2.8025002,0.14745264,-0.59777987,0.0,-0.8255637,-2.0345552
1.4041666666666666,2.8025002,0.14709066,-0.5975871,0.0,-0.8261185,-2.0345552
1.4083333333333332,2.8025002,0.14671054,-0.59738445,0.0,-0.8267013,-2.0345552
1.4125,2.8025002,0.14631134,-0.5971711,0.0,-0.8273139,-2.0345552
1.4166666666666667,2.8025002,0.14589207,-0.5969459,0.0,-0.82795835,-2.0345552
1.4208333333333334,2.8025002,0.14545181,-0.5967079,0.0,-0.8286366,-2.0345552
1.425,2.8025002,0.14498955,-0.5964561,0.0,-0.8293507,-2.0345552
1.4291666666666667,2.8025005,0.14450432,-0.59618944,0.0,-0.8301027,-2.0345552
1.4333333333333333,2.8025005,0.14399521,-0.59590685,0.0,-0.8308944,-2.0345552
1.4375,2.8025005,0.14345403,-0.59560335,0.0,-0.8317389,-2.0345552
1.4416666666666667,2.8025002,0.14285411,-0.5952646,0.0,-0.83267766,-2.0345552
1.4458333333333333,2.8025002,0.14220805,-0.5948978,0.0,-0.8336904,-2.0345552
1.45,2.8025002,0.14152822,-0.5945104,0.0,-0.8347578,-2.0345552
1.4541666666666666,2.8025002,0.14082685,-0.594109,0.0,-0.8358605,-2.0345552
1.4583333333333333,2.8025002,0.14011635,-0.5937009,0.0,-0.8369791,-2.0345552
1.4625,2.8025002,0.13940895,-0.59329313,0.0,-0.8380943,-2.0345552
1.4666666666666666,2.8025002,0.138717,-0.59289277,0.0,-0.8391866,-2.0345552
1.4708333333333332,2.8025005,0.13805278,-0.59250677,0.0,-0.84023684,-2.0345552
1.475,2.8025005,0.13742861,-0.59214234,0.0,-0.8412254,-2.0345552
1.4791666666666667,2.8025005,0.13656884,-0.5916395,0.0,-0.84258795,-2.0345552
1.4833333333333334,2.8025002,0.13581806,-0.5912017,0.0,-0.8437765,-2.0345552
1.4875,2.8025002,0.13511997,-0.59078926,0.0,-0.8448871,-2.0345552
1.4916666666666667,2.8025002,0.1342933,-0.590289,0.0,-0.846214,-2.0345552
1.4958333333333333,2.8025005,0.13315699,-0.5895878,0.0,-0.8480514,-2.0345552
1.5,2.8025005,0.13193832,-0.5888286,0.0,-0.8500294,-2.0345552
1.5041666666666667,2.8025002,0.13092273,-0.58819634,8e-45,-0.85167724,-2.0345552
1.5083333333333333,2.8025002,0.1298006,-0.5874978,2e-44,-0.853498,-2.0345552
1.5125,2.8025002,0.12858713,-0.58674085,3.4e-44,-0.8554684,-2.0345552
1.5166666666666666,2.8025002,0.1272973,-0.58593357,4.8e-44,-0.85756546,-2.0345552
1.5208333333333333,2.8025002,0.12594633,-0.58508396,5.6e-44,-0.859766,-2.0345552
1.525,2.8025002,0.124549195,-0.5842,5.9e-44,-0.8620471,-2.0345552
1.5291666666666666,2.8025002,0.12312113,-0.58328974,5.5e-44,-0.8643854,-2.0345552
1.5333333333333332,2.8025005,0.12167712,-0.5823611,3.6e-44,-0.86675805,-2.0345552
1.5375,2.8025005,0.12023236,-0.5814221,6e-45,-0.8691418,-2.0345552
1.5416666666666667,2.8025005,0.118740454,-0.58044446,1.0252e-41,-0.8716114,-2.0345552
