"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count","Total Cycle Count(ElectroPuls (10.0.0.2 : 1) Waveform)","Position (mm)","Force (N)","Cycle Energy(Energy Calculation) (J)","Velocity(Velocity Calculation) (m/s)","Acceleration(Acceleration Calculation) (m/s²)",
51.965,0.088000000000001,94,94,2,93,0,-1.42632358214724,-27.5460256179373,-0.00480150623860709,0.00145395157631,0.0033940775785,
51.966,0.0889999999999986,94,94,2,93,0,-1.42490538111874,-27.5105630390531,-0.00484054689394497,0.001435927041906,-0.0100276210473,
51.967,0.0899999999999963,94,94,2,93,0,-1.42350668366321,-27.5695633087572,-0.00487906711023811,0.001417606395524,-0.0166469280173,
51.968,0.0910000000000011,94,94,2,93,0,-1.42213116903602,-27.6688058418478,-0.00491705770261319,0.001397593678919,-0.0187394338555,
51.969,0.0919999999999987,94,94,2,93,0,-1.42077192293054,-27.6608177872028,-0.00495466099033592,0.001377588919179,-0.0195027084786,
51.97,0.0929999999999964,94,94,2,93,0,-1.41941906859998,-27.5266004900275,-0.00499199125923155,0.001362209129517,-0.0186196557761,
51.971,0.0940000000000012,94,94,2,93,0,-1.41808040271667,-27.2243690918478,-0.00502863788676677,0.001350515328861,-0.0156614839836,
51.972,0.0949999999999989,94,94,2,93,0,-1.41676886225998,-27.0574027798386,-0.00506423425670732,0.001334784789499,-0.0140106189696,
51.973,0.0959999999999965,94,94,2,93,0,-1.41547753465086,-27.0317829266437,-0.00509915768614633,0.001313614230405,-0.0161515236698,
51.974,0.0970000000000013,94,94,2,93,0,-1.41419727641217,-27.073820394121,-0.00513379225836275,0.001294070652262,-0.0190504588891,
51.975,0.097999999999999,94,94,2,93,0,-1.41292085795149,-27.0981854519887,-0.00516836533250853,0.001282427116416,-0.0176616597392,
51.976,0.0989999999999966,94,94,2,93,0,-1.41163840611665,-27.1683888735835,-0.00520316246641528,0.001279380406331,-0.0114345008068,
51.977,0.100000000000001,94,94,2,93,0,-1.41034310510389,-27.2308829428506,-0.00523839418235639,0.001284496575968,-0.0031768938967,
51.978,0.100999999999999,94,94,2,93,0,-1.40903245285839,-27.2110823394834,-0.00527407142436687,0.001296051629206,0.0045989708007,
51.979,0.101999999999997,94,94,2,93,0,-1.40771939893198,-27.074060642018,-0.00530971108443623,0.001306767379951,0.0093715974098,
51.98,0.103000000000002,94,94,2,93,0,-1.40643668765093,-27.0589839360422,-0.0053444296179066,0.001303230628529,0.0066917908428,
51.981,0.103999999999999,94,94,2,93,0,-1.40520086785034,-27.0679925705025,-0.0053778752125595,0.00127774663052,-0.005845174748,
51.982,0.104999999999997,94,94,2,93,0,-1.40400426131409,-26.9800595120479,-0.00541021233874517,0.001238123265426,-0.0231416341584,
51.983,0.106000000000002,94,94,2,93,0,-1.40281953025788,-26.8937264921778,-0.0054421253124417,0.00120480787154,-0.0334891636061,
51.984,0.106999999999999,94,94,2,93,0,-1.40163358742466,-26.8235807491156,-0.00547397814020201,0.001188657233325,-0.0300583585471,
51.985,0.107999999999997,94,94,2,93,0,-1.40045497230807,-26.7956330641646,-0.0055055763481846,0.001183380985128,-0.0180377479109,
51.986,0.109000000000002,94,94,2,93,0,-1.39928683584947,-26.8140412929001,-0.00553688805575803,0.001177669834182,-0.0086690360271,
51.987,0.109999999999999,94,94,2,93,0,-1.39812596334639,-26.8814302645222,-0.00556805485399536,0.001169100869341,-0.0064380242898,
51.988,0.110999999999997,94,94,2,93,0,-1.39697449649142,-26.7915410886544,-0.00559895617774941,0.001160229995303,-0.0078021934316,
51.989,0.112000000000002,94,94,2,93,0,-1.3958313223094,-26.686725475378,-0.0056295236645667,0.001151800747518,-0.008647813403,
51.99,0.113,94,94,2,93,0,-1.39469595267744,-26.7544348143202,-0.00565986139980623,0.001143320618887,-0.0085769999147,
51.991,0.113999999999997,94,94,2,93,0,-1.39356255526187,-26.8819777659238,-0.00569025708551862,0.001137119332061,-0.0077812118357,
51.992,0.115000000000002,94,94,2,93,0,-1.39242074225698,-26.8235542068898,-0.00572091792292895,0.001136513757283,-0.0052062257531,
51.993,0.116,94,94,2,93,0,-1.3912705608995,-26.6164727171949,-0.00575165078427631,0.001141798833871,-0.0005170929826,
51.994,0.116999999999997,94,94,2,93,0,-1.39012675775153,-26.4803707708961,-0.00578201695265079,0.00114575738885,0.0031199246955,
51.995,0.118000000000002,94,94,2,93,0,-1.38900300622284,-26.5582110996811,-0.00581181804636799,0.001139701125039,0.0013520658247,
51.996,0.119,94,94,2,93,0,-1.38789639648954,-26.7229051774428,-0.00584129874729911,0.001124624475857,-0.0057579337853,
51.997,0.119999999999997,94,94,2,93,0,-1.38680719675905,-26.7513843962676,-0.00587042083819256,0.001106529271074,-0.013276100251,
51.998,0.120999999999995,94,94,2,93,0,-1.38574533504767,-26.768899198595,-0.00589883640816424,0.0010862213256,-0.01785346031,
51.999,0.122,94,94,2,93,0,-1.38471097541178,-26.7782847283668,-0.00592652993100273,0.001061812494466,-0.0208743889647,
52,0.122999999999998,94,94,2,93,0,-1.38368230348792,-26.7408766924182,-0.00595405676037331,0.001040903944928,-0.0221284809572,
