"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count","Total Cycle Count(ElectroPuls (10.0.0.2 : 1) Waveform)","Position (mm)","Force (N)","Cycle Energy(Energy Calculation) (J)","Velocity(Velocity Calculation) (m/s)","Acceleration(Acceleration Calculation) (m/s²)",
54.845,0.418999999999997,99,99,2,98.75,0,12.8867535850171,-23.1826246703514,1.10315641967505,-0.00095303318961,-0.527230484696,
54.846,0.420000000000002,99,99,2,98.75,0,12.8853130485008,-23.2425774700598,1.10318985827452,-0.00121917661747,-0.38580019924,
54.847,0.420999999999999,99,99,2,98.75,0,12.8836501293897,-23.3688279178417,1.10322861377293,-0.00144392479667,-0.284958469696,
54.848,0.421999999999997,99,99,2,98.75,0,12.8817417813018,-23.5206996707491,1.10327335454309,-0.0016698330257,-0.237514768747,
54.849,0.423000000000002,99,99,2,98.75,0,12.8795650486364,-23.6041463633028,1.10332464363894,-0.00191523476811,-0.231408268095,
54.85,0.423999999999999,99,99,2,98.75,0,12.8770930469328,-23.6709286063474,1.10338307567187,-0.00218479800361,-0.246802136323,
54.851,0.424999999999997,99,99,2,98.75,0,12.874303045143,-23.8095214497777,1.1034493109422,-0.002478821018,-0.26965272124,
54.852,0.426000000000002,99,99,2,98.75,0,12.8711846691123,-23.9937280831073,1.10352384519597,-0.00279311403621,-0.292766081869,
54.853,0.427,99,99,2,98.75,0,12.8677358017462,-24.1900971235253,1.10360693500714,-0.00311901115905,-0.311693248453,
54.854,0.427999999999997,99,99,2,98.75,0,12.8639701537868,-24.4858941478621,1.10369858333074,-0.00344475414347,-0.322369649925,
54.855,0.429000000000002,99,99,2,98.75,0,12.8599173088749,-24.8885843318073,1.10379863688269,-0.00375677286716,-0.321671947727,
54.856,0.43,99,99,2,98.75,0,12.8556252546104,-25.3912576566881,1.1039065387878,-0.00403844863193,-0.307033114233,
54.857,0.430999999999997,99,99,2,98.75,0,12.8511450476107,-25.8576531501331,1.10402134165226,-0.00427673727928,-0.27776251722,
54.858,0.432000000000002,99,99,2,98.75,0,12.8465139633724,-26.1168417678491,1.10414169078436,-0.00446902435072,-0.237504309803,
54.859,0.433,99,99,2,98.75,0,12.8417718314829,-26.2722576144303,1.10426590879378,-0.00461913536208,-0.193434726189,
54.86,0.433999999999998,99,99,2,98.75,0,12.8369576519672,-26.4408304981898,1.10439279392828,-0.004730431882,-0.151119481952,
54.861,0.435000000000002,99,99,2,98.75,0,12.8320869038466,-26.6512585060983,1.10452209302466,-0.00480953580931,-0.113283089569,
54.862,0.436,99,99,2,98.75,0,12.8271545308749,-26.838032461145,1.10465400759118,-0.00487226499449,-0.083849282454,
54.863,0.436999999999998,99,99,2,98.75,0,12.8221481650711,-26.9563537345044,1.10478866477892,-0.00493608336601,-0.067968363721,
54.864,0.438000000000002,99,99,2,98.75,0,12.8170590411311,-27.1354514176073,1.1049263047292,-0.00500899539502,-0.066219712865,
54.865,0.439,99,99,2,98.75,0,12.8118913332751,-27.4439806593133,1.10506733000916,-0.00508787167391,-0.071973206727,
54.866,0.439999999999998,99,99,2,98.75,0,12.806671579343,-27.7740579864396,1.10521144229634,-0.00515974650403,-0.074986569295,
54.867,0.441000000000003,99,99,2,98.75,0,12.8014343217563,-28.0556129097581,1.10535763948008,-0.00520939120565,-0.067306226201,
54.868,0.442,99,99,2,98.75,0,12.7961940504182,-28.2799876450401,1.10550524639653,-0.00523291061574,-0.048476152711,
