phase,displacement_m,measured_force_n,simulated_force_n
5.200000000000000455e-02,1.903514305590894200e-04,1.044625264174556634e+01,6.033709144589357365e+00
5.399999999999999939e-02,1.882472234836622964e-04,1.037667917034251630e+01,5.971169700619602061e+00
5.600000000000000117e-02,1.861468786166873429e-04,1.035704806344012852e+01,5.905954532620143027e+00
5.800000000000000294e-02,1.840666831802395488e-04,1.023056205904437732e+01,5.840148143765204303e+00
5.999999999999999778e-02,1.820214647146572019e-04,1.010979884839907683e+01,5.775429630276484261e+00
6.199999999999999956e-02,1.800060707275474869e-04,1.004001400066508864e+01,5.711715011593653912e+00
6.400000000000000133e-02,1.780010314504898417e-04,9.992305868517068035e+00,5.648199481961081680e+00
6.600000000000000311e-02,1.759952527362025425e-04,9.895714514165511844e+00,5.584398860928361685e+00
6.800000000000000488e-02,1.739962601564977094e-04,9.821877585315633041e+00,5.520747280117822342e+00
7.000000000000000666e-02,1.720141476473653456e-04,9.811944701499125898e+00,5.457372188565111415e+00
7.200000000000000844e-02,1.700484697201425381e-04,9.846899636854498539e+00,5.394489555355884924e+00
7.399999999999999634e-02,1.680925421086327805e-04,9.891260708356607978e+00,5.331753463742137100e+00
7.599999999999999811e-02,1.661493203196204760e-04,9.904387542839490521e+00,5.269441757199160747e+00
7.799999999999999989e-02,1.642285125593026052e-04,9.760722535793252774e+00,5.207751445767305754e+00
8.000000000000000167e-02,1.623357958739233208e-04,9.555816014982777773e+00,5.146974086758563161e+00
8.200000000000000344e-02,1.604658379364054456e-04,9.478061857930885736e+00,5.087030029293996947e+00
8.400000000000000522e-02,1.586123673987829244e-04,9.572426325185492857e+00,5.027508068081844250e+00
8.600000000000000699e-02,1.567672109291833385e-04,9.672821064788692524e+00,4.968100528714182396e+00
8.799999999999999489e-02,1.549243047865007754e-04,9.604459987451928527e+00,4.908668403622635346e+00
8.999999999999999667e-02,1.530858568230979481e-04,9.462096636551837747e+00,4.849692821499855810e+00
9.199999999999999845e-02,1.512584927797138248e-04,9.273809268419388019e+00,4.791237983700797898e+00
9.400000000000000022e-02,1.494452984407610395e-04,9.186268826808806409e+00,4.733075370785765124e+00
9.600000000000000200e-02,1.476419089112632882e-04,9.189900494703788780e+00,4.675121612546030647e+00
9.800000000000000377e-02,1.458477924375190069e-04,9.300926441952071855e+00,4.617279281613416941e+00
1.000000000000000056e-01,1.440626826588962126e-04,9.356220109848475630e+00,4.559695243832642575e+00
1.020000000000000073e-01,1.422839164489133593e-04,9.280139245883137988e+00,4.501975936886840834e+00
1.040000000000000091e-01,1.405141618405942878e-04,9.139429610283347216e+00,4.444622974392959058e+00
1.059999999999999970e-01,1.387586161911900072e-04,9.014523809336665749e+00,4.387611618039226613e+00
1.079999999999999988e-01,1.370257296140673341e-04,8.968854579374212932e+00,4.331283798215035397e+00
1.100000000000000006e-01,1.353110306732996403e-04,8.969278218813389714e+00,4.275482559201379651e+00
1.120000000000000023e-01,1.336010280294606261e-04,8.952682187657025281e+00,4.219701747891538623e+00
1.140000000000000041e-01,1.318881584127675854e-04,8.888004696227600476e+00,4.163598823544607974e+00
1.160000000000000059e-01,1.301728679267344293e-04,8.869687703795182898e+00,4.107202796933268729e+00
1.180000000000000077e-01,1.284621350230506060e-04,8.802414247764478006e+00,4.050756263730137086e+00
1.199999999999999956e-01,1.267570340449828358e-04,8.717038538166121953e+00,3.994400167462446305e+00
1.219999999999999973e-01,1.250629611292848327e-04,8.687674701671586064e+00,3.938402338025257077e+00
1.239999999999999991e-01,1.233864831095759043e-04,8.617438167222264411e+00,3.883716888425074565e+00
1.260000000000000009e-01,1.217271648938331749e-04,8.501051771168864235e+00,3.829703521725847271e+00
1.280000000000000027e-01,1.200827400164450337e-04,8.418139331268346126e+00,3.776162405011394441e+00
1.300000000000000044e-01,1.184537747155562997e-04,8.407015331340787156e+00,3.723045873639344805e+00
1.320000000000000062e-01,1.168409091659883297e-04,8.360180750642175695e+00,3.670510044095302682e+00
1.340000000000000080e-01,1.152458686538850946e-04,8.310910430471945887e+00,3.618519210812869424e+00
1.360000000000000098e-01,1.136789355108365268e-04,8.236398136655957103e+00,3.567568254468325595e+00
1.380000000000000115e-01,1.121452767282684650e-04,8.173054577086805494e+00,3.517792568204336945e+00
1.400000000000000133e-01,1.106368129040953313e-04,8.089983772089169634e+00,3.468904304501974512e+00
1.420000000000000151e-01,1.091405218217766953e-04,8.119912980635820787e+00,3.420333642957173126e+00
1.440000000000000169e-01,1.076442080157087312e-04,8.201936859651564049e+00,3.371690168378290497e+00
1.459999999999999909e-01,1.061432864999853874e-04,8.155736857935661277e+00,3.322575387952264592e+00
1.479999999999999927e-01,1.046446648335219715e-04,8.034082841377458095e+00,3.273441896436138254e+00
1.499999999999999944e-01,1.031514643380386840e-04,7.965789949473698783e+00,3.224360227582373728e+00
1.519999999999999962e-01,1.016630765790407217e-04,7.965557146027446578e+00,3.175149803159159845e+00
1.539999999999999980e-01,1.001808375990371732e-04,7.923453049135279258e+00,3.126162490842271602e+00
1.559999999999999998e-01,9.871152431872887991e-05,7.887397163908428155e+00,3.077595081326910176e+00
1.580000000000000016e-01,9.726430948602571053e-05,7.818545439100784478e+00,3.029808397290705724e+00
1.600000000000000033e-01,9.584221687179273581e-05,7.723364846290650121e+00,2.982841968534030386e+00
1.620000000000000051e-01,9.443955162425400087e-05,7.639522138194724477e+00,2.936567640302251814e+00
1.640000000000000069e-01,9.305633587745587825e-05,7.603341732926718777e+00,2.891031675336464435e+00
1.660000000000000087e-01,9.169130854391261461e-05,7.660667934922013700e+00,2.846053647992734525e+00
1.680000000000000104e-01,9.033696064991425512e-05,7.701760879666299076e+00,2.801407747266423609e+00
1.700000000000000122e-01,8.898928373383597113e-05,7.734042451961119724e+00,2.756938028333319135e+00
1.720000000000000140e-01,8.765269677179788601e-05,7.732791978785233056e+00,2.712779045102762243e+00
1.740000000000000158e-01,8.633413674799949743e-05,7.662144567417396246e+00,2.669174938199725844e+00
1.759999999999999898e-01,8.503303993371602620e-05,7.673333657993936185e+00,2.626194362638196278e+00
1.779999999999999916e-01,8.374052396408827089e-05,7.790903821427132669e+00,2.583418149945943210e+00
1.799999999999999933e-01,8.244689438988462584e-05,7.783781300412041304e+00,2.540529060361594649e+00
1.819999999999999951e-01,8.115370311440140501e-05,7.596479121059591222e+00,2.497397966382688850e+00
1.839999999999999969e-01,7.986172759400833111e-05,7.399690230460652884e+00,2.453467130658697037e+00
1.859999999999999987e-01,7.856763232540963867e-05,7.369836995169645633e+00,2.407630376813433948e+00
1.880000000000000004e-01,7.726732292001158974e-05,7.443404803632855504e+00,2.361368322370049899e+00
1.900000000000000022e-01,7.596161646515842093e-05,7.451330021763251210e+00,2.314750480649458098e+00
1.920000000000000040e-01,7.465293641274484701e-05,7.416990332937213992e+00,2.267777748105501701e+00
1.940000000000000058e-01,7.334479048661157383e-05,7.340515507238091431e+00,2.220775842664256317e+00
1.960000000000000075e-01,7.204673999952859427e-05,7.292783731366558442e+00,2.175772953031293699e+00
1.980000000000000093e-01,7.076721825853970885e-05,7.309666573785712274e+00,2.133758020398868638e+00
2.000000000000000111e-01,6.950645881574634994e-05,7.467878832101103370e+00,2.091496467588057406e+00
2.020000000000000129e-01,6.826145035099395329e-05,7.578528558117909597e+00,2.047275218961342347e+00
2.040000000000000147e-01,6.703688993616108626e-05,7.528552729674789390e+00,2.003844842908529600e+00
2.060000000000000164e-01,6.583223394064141099e-05,7.450129959818237779e+00,1.961222295758908496e+00
2.080000000000000182e-01,6.464033072044906441e-05,7.406832743293026766e+00,1.918837800023744267e+00
2.099999999999999922e-01,6.344956364083076741e-05,7.382990286614798947e+00,1.876493287084282313e+00
2.119999999999999940e-01,6.224830726871633457e-05,7.402530563432069499e+00,1.833542647359514444e+00
2.139999999999999958e-01,6.103428817033407688e-05,7.390406869675349100e+00,1.789931640622729692e+00
2.159999999999999976e-01,5.981307394717605793e-05,7.330425935448257491e+00,1.745891642568196289e+00
2.179999999999999993e-01,5.858791932749207591e-05,7.326550961982707832e+00,1.701578645703854642e+00
2.200000000000000011e-01,5.735568944538393731e-05,7.326261300445697344e+00,1.656766366956272662e+00
2.220000000000000029e-01,5.611472578914100494e-05,7.203278826884883301e+00,1.611455192563556960e+00
2.240000000000000047e-01,5.487497960192278288e-05,6.952298906897400599e+00,1.566052265164900259e+00
2.260000000000000064e-01,5.365084688249899318e-05,6.766738205452622168e+00,1.521299114224959448e+00
2.280000000000000082e-01,5.245463992069599173e-05,6.742623455060098081e+00,1.477693128583538629e+00
2.300000000000000100e-01,5.128570328917758772e-05,6.785594814604696268e+00,1.435161662099521340e+00
2.320000000000000118e-01,5.013061985654410004e-05,6.827521192246766901e+00,1.393096442220396192e+00
2.340000000000000135e-01,4.897658251663150895e-05,6.857049173939568476e+00,1.350923500058827775e+00
2.360000000000000153e-01,4.782025455695349155e-05,6.810916364961290270e+00,1.308703665731121513e+00
2.380000000000000171e-01,4.666463443642943000e-05,6.712226451420274742e+00,1.266315827367466618e+00
2.399999999999999911e-01,4.551612164574159170e-05,6.605462410273791107e+00,1.224572110173919093e+00
2.419999999999999929e-01,4.437819496911843344e-05,6.604754243375566602e+00,1.183384070394248200e+00
2.439999999999999947e-01,4.324475919493498094e-05,6.623973576247440320e+00,1.142175693509813295e+00
