phase,time_s,displacement_m,displacement_mm,force_n,position_mm_raw,force_n_raw,velocity_m_s,cycle_energy_j
3.739999999999999991e-01,1.870415555555555442e-01,2.704899090821104844e-04,2.704899090821104579e-01,3.493057266948530071e+01,1.262651642291621457e+01,-3.493057266948530071e+01,-1.975674488527423556e-05,-1.149954511694246614e-04
3.760000000000000009e-01,1.880417777777777522e-01,2.704924462362736791e-04,2.704924462362736648e-01,3.482216036080311028e+01,1.262651388576205136e+01,-3.482216036080311028e+01,3.923718004847365215e-05,-1.149070297323160857e-04
3.780000000000000027e-01,1.890419999999999878e-01,2.705684008809541396e-04,2.705684008809541297e-01,3.473501050130452228e+01,1.262643793111737089e+01,-3.473501050130452228e+01,1.273359202350887731e-04,-1.122667918253315525e-04
3.800000000000000044e-01,1.900422222222221957e-01,2.707471746704861386e-04,2.707471746704861459e-01,3.465311165871499810e+01,1.262625915732783888e+01,-3.465311165871499810e+01,2.572788474501652711e-04,-1.060669545539117276e-04
3.820000000000000062e-01,1.910424444444444314e-01,2.710830729220088512e-04,2.710830729220088386e-01,3.448558582666515093e+01,1.262592325907631619e+01,-3.448558582666515093e+01,4.736016766345163553e-04,-9.445927185782181535e-05
3.840000000000000080e-01,1.920426666666666393e-01,2.716945885133892303e-04,2.716945885133892347e-01,3.416377033490817894e+01,1.262531174348493579e+01,-3.416377033490817894e+01,8.434871412325850581e-04,-7.347654572586759811e-05
3.860000000000000098e-01,1.930428888888888750e-01,2.727704220876479065e-04,2.727704220876479013e-01,3.366266728604845326e+01,1.262423590991067712e+01,-3.366266728604845326e+01,1.428791052493688651e-03,-3.700536460316866314e-05
3.880000000000000115e-01,1.940431111111111107e-01,2.745528056366222029e-04,2.745528056366222103e-01,3.309764512350513144e+01,1.262245352636170281e+01,-3.309764512350513144e+01,2.273100284828910578e-03,2.246827690491827155e-05
3.900000000000000133e-01,1.950433333333333186e-01,2.773176329240989424e-04,2.773176329240989446e-01,3.249266076263248237e+01,1.261968869907422608e+01,-3.249266076263248237e+01,3.404816687907430417e-03,1.131067581459902123e-04
3.920000000000000151e-01,1.960435555555555542e-01,2.813639522642983628e-04,2.813639522642983892e-01,3.185329863237753401e+01,1.261564237973402669e+01,-3.185329863237753401e+01,4.848339361343600995e-03,2.432375701769727908e-04
3.940000000000000169e-01,1.970437777777777622e-01,2.870164664642800350e-04,2.870164664642800290e-01,3.119429546508479945e+01,1.260998986553404499e+01,-3.119429546508479945e+01,6.629658572408742012e-03,4.213601122238725197e-04
3.960000000000000187e-01,1.980439999999999978e-01,2.946262159240369319e-04,2.946262159240369272e-01,3.052927492749373428e+01,1.260238011607428810e+01,-3.052927492749373428e+01,8.773195436734382291e-03,6.561436154073287032e-04
3.980000000000000204e-01,1.990442222222222057e-01,3.045667565357206095e-04,3.045667565357206286e-01,2.989118561966919074e+01,1.259243957546260440e+01,-2.989118561966919074e+01,1.130624016413056543e-02,9.563886022096457218e-04
4.000000000000000222e-01,2.000444444444444414e-01,3.172437212479266560e-04,3.172437212479266577e-01,2.929026604579197013e+01,1.257976261075039837e+01,-2.929026604579197013e+01,1.425087776635164394e-02,1.331440257212330135e-03
4.020000000000000240e-01,2.010446666666666493e-01,3.330748457918755452e-04,3.330748457918755179e-01,2.876196617894907348e+01,1.256393148620644951e+01,-2.876196617894907348e+01,1.761582959834229190e-02,1.790877215185053117e-03
