phase,time_s,displacement_m,displacement_mm,force_n,position_mm_raw,force_n_raw,velocity_m_s,cycle_energy_j
4.100000000000000311e-01,2.050000000000000988e-01,2.513838180669679314e-03,2.513838180669679456e+00,1.905123205535514899e+02,-3.851028853049454526e+00,-1.905123205535514899e+02,1.945375758152925183e-01,2.137442495161286371e-01
4.120000000000000329e-01,2.060000000000000997e-01,2.712423923176712857e-03,2.712423923176712659e+00,2.109515496148720217e+02,-4.049614595556487728e+00,-2.109515496148720217e+02,2.025510532473624448e-01,2.536067560445592339e-01
4.140000000000000346e-01,2.070000000000001006e-01,2.918940287164404745e-03,2.918940287164404790e+00,2.329905983545775712e+02,-4.256130959544179859e+00,-2.329905983545775712e+02,2.103657516974244412e-01,2.994474322373985586e-01
4.160000000000000364e-01,2.080000000000001015e-01,3.133155426571562242e-03,3.133155426571562430e+00,2.563984073360348930e+02,-4.470346098951337055e+00,-2.563984073360348930e+02,2.179072576166392050e-01,3.518647390912232886e-01
4.179999999999999827e-01,2.090000000000000746e-01,3.354754802397677538e-03,3.354754802397677427e+00,2.810736186592179706e+02,-4.691945474777452496e+00,-2.810736186592179706e+02,2.251147347611808236e-01,4.114165235020754707e-01
4.199999999999999845e-01,2.100000000000000755e-01,3.583384896093918474e-03,3.583384896093918304e+00,3.064495411403149205e+02,-4.920575568473693373e+00,-3.064495411403149205e+02,2.319816284172748766e-01,4.785792949107942063e-01
4.219999999999999862e-01,2.110000000000000764e-01,3.818718059232228089e-03,3.818718059232228068e+00,3.321749486766242399e+02,-5.155908731612003137e+00,-3.321749486766242399e+02,2.385343642855215496e-01,5.537240708534018063e-01
4.239999999999999880e-01,2.120000000000000773e-01,4.060453624664962444e-03,4.060453624664962291e+00,3.579758963284880338e+02,-5.397644297044736916e+00,-3.579758963284880338e+02,2.447907940948708116e-01,6.371410815367559710e-01
4.259999999999999898e-01,2.130000000000000782e-01,4.308299647421970011e-03,4.308299647421970135e+00,3.840469386896791093e+02,-5.645490319801745649e+00,-3.840469386896791093e+02,2.507515006809217795e-01,7.290947918321033505e-01
4.279999999999999916e-01,2.140000000000000790e-01,4.561956626026805739e-03,4.561956626026805850e+00,4.103127750285279944e+02,-5.899147298406580475e+00,-4.103127750285279944e+02,2.564215712054158658e-01,8.298422362451864931e-01
4.299999999999999933e-01,2.150000000000000799e-01,4.821142789832802075e-03,4.821142789832801867e+00,4.368184133094112553e+02,-6.158333462212576492e+00,-4.368184133094112553e+02,2.618254215133126728e-01,9.396245692427647178e-01
4.319999999999999951e-01,2.160000000000000808e-01,5.085607469053432181e-03,5.085607469053432084e+00,4.634506888509459941e+02,-6.422798141433206709e+00,-4.634506888509459941e+02,2.669951281592291004e-01,1.058669245148241345e+00
4.339999999999999969e-01,2.170000000000000817e-01,5.355133046151261400e-03,5.355133046151260956e+00,4.900081365930419679e+02,-6.692323718531035581e+00,-4.900081365930419679e+02,2.719768611408115433e-01,1.187160002546153947e+00
4.359999999999999987e-01,2.180000000000000826e-01,5.629561191335055378e-03,5.629561191335055170e+00,5.167839488488771167e+02,-6.966751863714829796e+00,-5.167839488488771167e+02,2.768127053265994064e-01,1.325306018336655622e+00
4.380000000000000004e-01,2.190000000000001112e-01,5.908758456804468449e-03,5.908758456804468651e+00,5.441173650722855655e+02,-7.245949129184243276e+00,-5.441173650722855655e+02,2.815121343244455510e-01,1.473406344023134640e+00
4.400000000000000022e-01,2.200000000000001121e-01,6.192585459983954155e-03,6.192585459983954266e+00,5.712597643030751442e+02,-7.529776132363728891e+00,-5.712597643030751442e+02,2.860590370823752338e-01,1.631693375586522610e+00
4.420000000000000040e-01,2.210000000000001130e-01,6.480876530969219111e-03,6.480876530969219118e+00,5.981712906337663753e+02,-7.818067203348993743e+00,-5.981712906337663753e+02,2.904259973945091389e-01,1.800261618966693566e+00
4.440000000000000058e-01,2.220000000000001139e-01,6.773437454772972960e-03,6.773437454772972544e+00,6.253194149039031799e+02,-8.110628127152747169e+00,-6.253194149039031799e+02,2.945769918935545739e-01,1.979234394934928698e+00
