phase,time_s,displacement_m,displacement_mm,displacement_velocity_m_s,measured_force_n,raw_contact_force_n,sim_force_n,force_error_n,kh,kd,rigid_contact_count,pair_contact_count,active_pair_contact_count,pair_stiffness_sum,pair_depth_min_m,pair_depth_max_m,top_contact_force_n,top_solver_force_n,top_rigid_contact_count,top_pair_contact_count,top_active_pair_contact_count,top_pair_stiffness_sum,top_pair_depth_min_m,top_pair_depth_max_m,bottom_contact_force_n,bottom_solver_force_n,bottom_rigid_contact_count,bottom_pair_contact_count,bottom_active_pair_contact_count,bottom_pair_stiffness_sum,bottom_pair_depth_min_m,bottom_pair_depth_max_m,shoe_vertical_velocity_m_s,shoe_abs_vertical_velocity_m_s,shoe_angular_velocity_x_rad_s,shoe_angular_velocity_y_rad_s,shoe_angular_velocity_z_rad_s,shoe_angular_velocity_norm_rad_s,shoe_free_axis_angular_velocity_rad_s,shoe_abs_free_axis_angular_velocity_rad_s,indenter_platen_stop_active,indenter_command_z_m,indenter_applied_z_m,indenter_stop_z_m
0.37,0.18537,0.000270573842184,0.270573842184,-6.530221556885762e-05,34.9790059371,0.0,0.0,-34.9790059371,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.851175598394214,0.0,31,31,30,25592.357421875,-0.007232935167849064,0.00020047797443112358,-8.9248176664114e-05,8.9248176664114e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675065103212061,0.0675065103212061,0.0251
0.372,0.186372,0.000270510662437,0.270510662437,-5.697777744512189e-05,34.9705488376,0.0,0.0,-34.9705488376,2000000.0,250.0,30,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,25.851779020385052,0.0,30,30,29,25534.564453125,-0.007233022712171078,0.0002004579291678965,-8.935384539654478e-05,8.935384539654478e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675065735009531,0.0675065735009531,0.0251
0.374,0.187374,0.000270459658718,0.270459658718,-3.527488273452617e-05,34.9485111825,0.0,0.0,-34.9485111825,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.852401569435877,0.0,31,31,30,25592.263671875,-0.0072331109549850225,0.0002004381167353131,-8.857638749759644e-05,8.857638749759644e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675066245046721,0.0675066245046721,0.0251
0.376,0.188376,0.000270439971572,0.270439971572,8.973329840289423e-06,34.8959082193,0.0,0.0,-34.8959082193,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.853028633912377,0.0,31,31,30,25592.451171875,-0.00723319873213768,0.00020041784591739997,-8.883704140316695e-05,8.883704140316695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675066441918181,0.0675066441918181,0.0251
0.378,0.189378,0.000270477641271,0.270477641271,8.050518013971719e-05,34.812658251,0.0,0.0,-34.812658251,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.853654306324923,0.0,31,31,30,25593.330078125,-0.007233286742120981,0.0002003978006541729,-8.899386011762545e-05,8.899386011762545e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675066065221191,0.0675066065221191,0.0251
0.38,0.19038,0.000270601303953,0.270601303953,0.00018631834431137584,34.7206724149,0.0,0.0,-34.7206724149,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.854286648618565,0.0,31,31,30,25809.5625,-0.007233374286442995,0.00020037775539094582,-8.885232091415673e-05,8.885232091415673e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675064828594371,0.0675064828594371,0.0251
0.382,0.191382,0.000270851023233,0.27085102323300003,0.00035356615968062943,34.5924927062,0.0,0.0,-34.5924927062,2000000.0,250.0,30,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,25.854851419216157,0.0,30,30,29,25534.73046875,-0.007233454613015056,0.000200359478185419,-8.829739090288058e-05,8.829739090288058e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675062331401571,0.0675062331401571,0.0251
0.384,0.192384,0.000271309850537,0.271309850537,0.0006374031072854114,34.3613445381,0.0,0.0,-34.3613445381,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.85546242169202,0.0,31,31,30,25592.423828125,-0.007233543088659644,0.00020033939654240385,-8.801932563073933e-05,8.801932563073933e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675057743128531,0.0675057743128531,0.0251
0.386,0.193386,0.00027212837906,0.27212837906,0.0011030664296406978,33.9698601431,0.0,0.0,-33.9698601431,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.856034475164616,0.0,31,31,30,25809.638671875,-0.007233623182401061,0.00020032114116474986,-8.777777838986367e-05,8.777777838986367e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750495578433009,0.06750495578433009,0.0251
0.388,0.194388,0.000273520395662,0.273520395662,0.0018049988947105855,33.4362008814,0.0,0.0,-33.4362008814,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.856661807856486,0.0,31,31,30,25592.6484375,-0.007233711192384362,0.00020030109590152279,-8.807088306639344e-05,8.807088306639344e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750356376772809,0.06750356376772809,0.0251
0.39,0.19539,0.000275745596845,0.275745596845,0.0027809091731537117,32.8416612747,0.0,0.0,-32.8416612747,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.857231736124717,0.0,31,31,30,25592.521484375,-0.007233791286125779,0.0002002825858653523,-8.807376434560865e-05,8.807376434560865e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675013385665451,0.0675013385665451,0.0251
0.392,0.196392,0.000279093337645,0.279093337645,0.004057353832335381,32.2126137259,0.0,0.0,-32.2126137259,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.8578580646678,0.0,31,31,30,25593.55859375,-0.00723387929610908,0.00020026256242999807,-8.840553346090019e-05,8.840553346090019e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06749799082574509,0.06749799082574509,0.0251
0.394,0.197394,0.000283876533925,0.283876533925,0.0056585708692615255,31.5579511406,0.0,0.0,-31.5579511406,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.858417574848687,0.0,31,31,30,25592.7421875,-0.007233960321173072,0.00020024399418616667,-8.865260315360501e-05,8.865260315360501e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06749320762946509,0.06749320762946509,0.0251
0.396,0.198396,0.000290433113667,0.29043311366700003,0.007609412453592812,30.8921185727,0.0,0.0,-30.8921185727,2000000.0,250.0,30,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,25.859035420940533,0.0,30,30,29,25534.966796875,-0.007234048098325729,0.00020022372336825356,-8.896990038920194e-05,8.896990038920194e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0674866510497231,0.0674866510497231,0.0251
