phase,time_s,displacement_m,displacement_mm,force_n,position_mm_raw,force_n_raw,velocity_m_s,cycle_energy_j
5.800000000000000294e-02,2.900644444444448744e-02,1.804213798298810614e-04,1.804213798298810734e-01,3.026100946611614972e+01,-1.518293788533552569e+00,-3.026100946611614972e+01,-2.018423589257384299e-03,-2.038332378956872297e-03
5.999999999999999778e-02,3.000666666666670923e-02,1.784090708821581945e-04,1.784090708821581828e-01,3.017136853096408444e+01,-1.516281479585829706e+00,-3.017136853096408444e+01,-2.004573930976499829e-03,-2.099135683148392693e-03
6.199999999999999956e-02,3.100688888888893449e-02,1.764113410461809494e-04,1.764113410461809472e-01,3.007465994797673403e+01,-1.514283749749852470e+00,-3.007465994797673403e+01,-1.989383615499357161e-03,-2.159312223765134497e-03
6.400000000000000133e-02,3.200711111111115975e-02,1.744294194806636988e-04,1.744294194806637055e-01,3.003605463835660672e+01,-1.512301828184335228e+00,-3.003605463835660672e+01,-1.973417118161471806e-03,-2.218877162491489623e-03
6.600000000000000311e-02,3.300733333333338154e-02,1.724636297355832651e-04,1.724636297355832681e-01,3.003419535191157763e+01,-1.510336038439254791e+00,-3.003419535191157763e+01,-1.957930212311054241e-03,-2.277917185685034152e-03
6.800000000000000488e-02,3.400755555555561027e-02,1.705126888648360740e-04,1.705126888648360872e-01,2.994545389208142083e+01,-1.508385097568507582e+00,-2.994545389208142083e+01,-1.945228765248455116e-03,-2.336423955207460237e-03
7.000000000000000666e-02,3.500777777777783206e-02,1.685723076589684764e-04,1.685723076589684677e-01,2.979327483394845544e+01,-1.506444716362639991e+00,-2.979327483394845544e+01,-1.937075692592660214e-03,-2.394381894352261633e-03
7.200000000000000844e-02,3.600800000000005385e-02,1.666376765571207081e-04,1.666376765571206953e-01,2.968671337067853244e+01,-1.504510085260792218e+00,-2.968671337067853244e+01,-1.931189481000197827e-03,-2.451920747416352561e-03
7.399999999999999634e-02,3.700822222222227564e-02,1.647090703905320784e-04,1.647090703905320919e-01,2.960315690789325771e+01,-1.502581479094203587e+00,-2.960315690789325771e+01,-1.922665893465139164e-03,-2.509101794127442751e-03
7.599999999999999811e-02,3.800844444444449743e-02,1.627914902520155723e-04,1.627914902520155860e-01,2.953877736692818701e+01,-1.500663898955687081e+00,-2.953877736692818701e+01,-1.909833034158814336e-03,-2.565816951006026376e-03
7.799999999999999989e-02,3.900866666666672616e-02,1.608885555075325604e-04,1.608885555075325602e-01,2.948569379865159590e+01,-1.498760964211204083e+00,-2.948569379865159590e+01,-1.894636895158618994e-03,-2.621987270218128791e-03
