phase,time_s,displacement_m,displacement_mm,displacement_velocity_m_s,measured_force_n,raw_contact_force_n,sim_force_n,force_error_n,kh,kd,rigid_contact_count,pair_contact_count,active_pair_contact_count,pair_stiffness_sum,pair_depth_min_m,pair_depth_max_m,top_contact_force_n,top_solver_force_n,top_rigid_contact_count,top_pair_contact_count,top_active_pair_contact_count,top_pair_stiffness_sum,top_pair_depth_min_m,top_pair_depth_max_m,bottom_contact_force_n,bottom_solver_force_n,bottom_rigid_contact_count,bottom_pair_contact_count,bottom_active_pair_contact_count,bottom_pair_stiffness_sum,bottom_pair_depth_min_m,bottom_pair_depth_max_m,shoe_vertical_velocity_m_s,shoe_abs_vertical_velocity_m_s,shoe_angular_velocity_x_rad_s,shoe_angular_velocity_y_rad_s,shoe_angular_velocity_z_rad_s,shoe_angular_velocity_norm_rad_s,shoe_free_axis_angular_velocity_rad_s,shoe_abs_free_axis_angular_velocity_rad_s,indenter_platen_stop_active,indenter_command_z_m,indenter_applied_z_m,indenter_stop_z_m
0.072,0.036072,0.000168826693314,0.168826693314,-0.0019462709326347333,29.7410101732,0.0,0.0,-29.7410101732,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.125746873339782,0.0,27,27,26,24647.091796875,-0.006798518588766456,0.000299980107229203,-0.018304994329810143,0.018304994329810143,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046570382728223815,0.046570382728223815,0.0001
0.074,0.037074,0.000166879897429,0.166879897429,-0.0019389126067864276,29.6456171333,0.0,0.0,-29.6456171333,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.1136827169347,0.0,27,27,26,24648.005859375,-0.006796315545216203,0.00030026740569155663,-0.02083168365061283,0.02083168365061283,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046572329524108814,0.046572329524108814,0.0001
0.076,0.038076,0.00016494111245,0.16494111244999998,-0.0019283827569860357,29.5766892244,0.0,0.0,-29.5766892244,2000000.0,250.0,26,0,0,0.0,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,0.0,23.118085768003724,0.0,26,26,25,24677.97265625,-0.006797171430662274,0.00029985721630509943,-0.023349719122052193,0.023349719122052193,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04657426830908781,0.04657426830908781,0.0001
0.078,0.039078,0.000163015418384,0.163015418384,-0.0019130233892215437,29.5270440113,0.0,0.0,-29.5270440113,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.13889708686711,0.0,27,27,26,24647.4453125,-0.006801072973757982,0.00029875281325075775,-0.02586216665804386,0.02586216665804386,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04657619400315382,0.04657619400315382,0.0001
0.08,0.04008,0.000161107413578,0.16110741357799999,-0.0018946572350299479,29.4565719684,0.0,0.0,-29.4565719684,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.176032745481255,0.0,27,27,26,24649.669921875,-0.006807990139350295,0.0002969603519886732,-0.02837158925831318,0.02837158925831318,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04657810200795982,0.04657810200795982,0.0001
0.082,0.041082,0.000159218525285,0.159218525285,-0.0018761042400199518,29.3617758171,0.0,0.0,-29.3617758171,2000000.0,250.0,28,0,0,0.0,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,0.0,23.229837771029743,0.0,28,28,26,44670.25390625,-0.006817930145189166,0.0002944784500868991,-0.03088013082742691,0.03088013082742691,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04657999089625282,0.04657999089625282,0.0001
0.084,0.042084,0.000157347700681,0.15734770068099999,-0.0018573362664670579,29.3126953617,0.0,0.0,-29.3126953617,2000000.0,250.0,28,0,0,0.0,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,0.0,23.2679070233228,0.0,28,28,27,24894.751953125,-0.006824764423072338,0.0002935938537120819,-0.023441189900040627,0.023441189900040627,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046581861720856814,0.046581861720856814,0.0001
0.086,0.043086,0.000155496423407,0.155496423407,-0.0018383156596806366,29.3081035536,0.0,0.0,-29.3081035536,2000000.0,250.0,28,0,0,0.0,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,0.0,23.259308860235873,0.0,28,28,27,24896.18359375,-0.006823124131187797,0.0002944825537269935,-0.017806435003876686,0.017806435003876686,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04658371299813081,0.04658371299813081,0.0001
0.088,0.044088,0.000153663716099,0.153663716099,-0.0018225705104790574,29.2790923408,0.0,0.0,-29.2790923408,2000000.0,250.0,28,0,0,0.0,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,0.0,23.216355249921186,0.0,28,28,26,44651.5234375,-0.006815182510763407,0.00029654843092430383,-0.015095651149749756,0.015095651149749756,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04658554570543882,0.04658554570543882,0.0001
0.09,0.04509,0.000151843992104,0.15184399210400001,-0.001811997805888227,29.2017607693,0.0,0.0,-29.2017607693,2000000.0,250.0,28,0,0,0.0,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,0.0,23.175250149873452,0.0,28,28,26,44649.046875,-0.006807658821344376,0.00029804919904563576,-0.01766018196940422,0.01766018196940422,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046587365429433814,0.046587365429433814,0.0001
