phase,time_s,displacement_m,displacement_mm,force_n,position_mm_raw,force_n_raw,velocity_m_s,cycle_energy_j
0.434,0.217434,0.00129140678543,1.29140678543,42.3568817318,11.6041557269,-42.3568817318,-0.10729293058,0.0339018013528
0.436,0.218436,0.00141742511049,1.41742511049,45.0354602309,11.4781374018,-45.0354602309,-0.116418194925,0.0394147381654
0.438,0.219438,0.00155326851709,1.55326851709,47.9953408694,11.3422939952,-47.9953408694,-0.12589178526,0.0457408734766
0.44,0.22044,0.00169923909323,1.69923909323,51.2457565672,11.1963234191,-51.2457565672,-0.135690959459,0.0529922954994
0.442,0.221442,0.00185561937612,1.85561937612,54.8356603504,11.0399431362,-54.8356603504,-0.14579295924,0.0612962229753
0.444,0.222444,0.00202268215339,2.02268215339,58.8245635987,10.8728803589,-58.8245635987,-0.156179814837,0.0708011422731
0.446,0.223446,0.00220067257273,2.20067257273,63.2148540938,10.6948899396,-63.2148540938,-0.166833522107,0.0816741063651
0.448,0.224448,0.00238978863077,2.38978863077,67.9416937055,10.5057738815,-67.9416937055,-0.17772596311,0.0940891754098
0.45,0.22545,0.00259018550152,2.59018550152,73.0157719584,10.3053770108,-73.0157719584,-0.188817171332,0.108227210185
0.452,0.226452,0.00280198674708,2.80198674708,78.5408481791,10.0935757652,-78.5408481791,-0.200066482256,0.124292902747
0.454,0.227454,0.00302527730408,3.02527730408,84.5742282125,9.87028520824,-84.5742282125,-0.211436913504,0.142521225539
0.456,0.228456,0.00326008507667,3.26008507667,91.1180621002,9.63547743564,-91.1180621002,-0.222886483801,0.163166934812
0.458,0.229458,0.00350638012155,3.50638012155,98.1749688155,9.38918239076,-98.1749688155,-0.234363496546,0.186498029204
0.46,0.23046,0.00376408194268,3.76408194268,105.732162976,9.13148056963,-105.732162976,-0.245812643947,0.212793007538
0.462,0.231462,0.00403306221084,4.03306221084,113.714858593,8.86250030147,-113.714858593,-0.257182125215,0.242328740777
0.464,0.232464,0.00431315436627,4.31315436627,122.048339437,8.58240814604,-122.048339437,-0.268426273186,0.27536933737
0.466,0.233466,0.00460417330658,4.60417330658,130.683982127,8.29138920573,-130.683982127,-0.279509985256,0.312167607572
0.468,0.234468,0.00490596684856,4.90596684856,139.614601681,7.98959566375,-139.614601681,-0.290424341406,0.352978662306
0.47,0.23547,0.00521847938977,5.21847938977,148.725659921,7.67708312254,-148.725659921,-0.301205993106,0.398058043348
0.472,0.236472,0.00554176201936,5.54176201936,157.894375034,7.35380049296,-157.894375034,-0.311935456613,0.447645299174
0.474,0.237474,0.00587595562681,5.87595562681,167.452704501,7.0196068855,-167.452704501,-0.322711158636,0.50203599762
0.476,0.238476,0.00622123066344,6.22123066344,177.676602027,6.67433184887,-177.676602027,-0.333609660835,0.561646717609
0.478,0.239478,0.00657763553789,6.57763553789,188.464788672,6.31792697442,-188.464788672,-0.344632911295,0.626923854249
0.48,0.24048,0.00694500846218,6.94500846218,199.791652818,5.95055405013,-199.791652818,-0.355677714902,0.698271861263
0.482,0.241482,0.00732302036789,7.32302036789,211.590952541,5.57254214442,-211.590952541,-0.366573307884,0.776056344334
0.484,0.242484,0.00771122834584,7.71122834584,223.590137731,5.18433416647,-223.590137731,-0.377156008255,0.860556597168
0.486,0.243486,0.00810909217453,8.10909217453,236.433109225,4.78647033778,-236.433109225,-0.38730129662,0.952099743682
0.488,0.244488,0.00851599537786,8.51599537786,250.771173924,4.37956713445,-250.771173924,-0.396913467502,1.05125328226
0.49,0.24549,0.0089312880221,8.9312880221,265.980184922,3.96427449021,-265.980184922,-0.405922991746,1.15858536271
0.492,0.246492,0.00935430643586,9.35430643586,281.243849066,3.54125607645,-281.243849066,-0.414289679268,1.2743565246
0.494,0.247494,0.00978436009793,9.78436009793,296.487703078,3.11120241438,-296.487703078,-0.42199004277,1.39860968138
0.496,0.248496,0.0102207292918,10.2207292918,312.090917143,2.67483322054,-312.090917143,-0.429000479883,1.53141526293
0.498,0.249498,0.0106626720105,10.6626720105,328.233401765,2.23289050178,-328.233401765,-0.435294612302,1.6729293915
0.5,0.2505,0.0111094568925,11.1094568925,345.141631377,1.78610561977,-345.141631377,-0.440858027771,1.82337499362
0.502,0.251502,0.0115603942243,11.5603942243,362.639706947,1.33516828805,-362.639706947,-0.445700848679,1.98297403738
0.504,0.252504,0.0120147893352,12.0147893352,380.46171244,0.880773177121,-380.46171244,-0.449841471261,2.15181849408
0.506,0.253506,0.0124719269355,12.4719269355,398.796755708,0.423635576802,-398.796755708,-0.453284116876,2.32994335509
0.508,0.254508,0.0129311267393,12.9311267393,418.028302676,-0.0355642269426,-418.028302676,-0.456029503371,2.51749431843
0.51,0.25551,0.013391671215,13.391671215,438.486757037,-0.496108702684,-438.486757037,-0.458074369305,2.71473047852
0.512,0.256512,0.0138525964502,13.8525964502,460.432630176,-0.957033937896,-460.432630176,-0.459340338983,2.92189646004
0.514,0.257514,0.0143126648598,14.3126648598,483.137330163,-1.41710234754,-483.137330163,-0.459635456229,3.1389412849
0.516,0.258516,0.0147705829743,14.7705829743,505.660446718,-1.87502046202,-505.660446718,-0.458759914448,3.36531992363
0.518,0.259518,0.0152252424292,15.2252424292,528.151451513,-2.32967991693,-528.151451513,-0.456665516191,3.60031493632
0.52,0.26052,0.0156758047486,15.6758047486,551.284375611,-2.78024223633,-551.284375611,-0.453490880409,3.84346539116
0.522,0.261522,0.0161215668786,16.1215668786,575.537170113,-3.22600436629,-575.537170113,-0.449439918847,4.0945809867
0.524,0.262524,0.016561785306,16.561785306,600.775799212,-3.66622279369,-600.775799212,-0.444635020939,4.35346053579
0.526,0.263526,0.0169955847674,16.9955847674,626.889339233,-4.1000222551,-626.889339233,-0.439060621137,4.61969550147
0.528,0.264528,0.0174219705033,17.4219705033,653.97154415,-4.52640799103,-653.97154415,-0.432615996236,4.89271202387
0.53,0.26553,0.0178398953264,17.8398953264,682.04515336,-4.94433281412,-682.04515336,-0.425198321815,5.17182609674
0.532,0.266532,0.0182482997321,18.2482997321,711.012292822,-5.35273721975,-711.012292822,-0.416747396123,5.45621873858
0.534,0.267534,0.0186461174356,18.6461174356,740.786719199,-5.75055492326,-740.786719199,-0.407240687458,5.7449117576
0.536,0.268536,0.0190322708253,19.0322708253,771.494903979,-6.13670831295,-771.494903979,-0.396668433245,6.03680463853
0.538,0.269538,0.019405660371,19.405660371,803.178720687,-6.51009785874,-803.178720687,-0.3850174974,6.33068288283
0.54,0.27054,0.0197651560064,19.7651560064,835.575189049,-6.86959349409,-835.575189049,-0.37226657291,6.62512880716
0.542,0.271542,0.0201096222799,20.1096222799,868.227403091,-7.21405976756,-868.227403091,-0.358395280101,6.91845363934
0.544,0.272544,0.0204379739013,20.4379739013,900.86410547,-7.54241138903,-900.86410547,-0.343407423817,7.2087609511
0.546,0.273546,0.0207491773904,20.7491773904,933.44264402,-7.85361487809,-933.44264402,-0.327337058522,7.49403971644
0.548,0.274548,0.0210421711503,21.0421711503,965.890935845,-8.14660863802,-965.890935845,-0.310211468029,7.77213552657
0.55,0.27555,0.021315826757,21.315826757,998.027300151,-8.42026424469,-998.027300151,-0.292014731868,8.04069592507
0.552,0.276552,0.0215690129537,21.5690129537,1029.46302362,-8.67345044141,-1029.46302362,-0.272710802245,8.29719889431
0.554,0.277554,0.0218006458898,21.8006458898,1059.69864196,-8.90508337748,-1059.69864196,-0.252292886689,8.53899327063
0.556,0.278556,0.0220096437316,22.0096437316,1088.34252415,-9.11408121925,-1088.34252415,-0.230779802047,8.76329727208
0.558,0.279558,0.0221949036385,22.1949036385,1115.0146764,-9.29934112623,-1115.0146764,-0.208180168759,8.96723414993
0.56,0.28056,0.0223553793135,22.3553793135,1139.09387202,-9.45981680122,-1139.09387202,-0.184503075921,9.14794839384
0.562,0.281562,0.0224901798754,22.4901798754,1159.85448962,-9.59461736313,-1159.85448962,-0.159811554434,9.30276394805
0.564,0.282564,0.0225985749752,22.5985749752,1176.76035526,-9.70301246292,-1176.76035526,-0.134232903103,9.42929029879
0.566,0.283566,0.0226799531424,22.6799531424,1189.40061272,-9.78439063007,-1189.40061272,-0.107913380106,9.52548080783
0.568,0.284568,0.0227338480431,22.7338480431,1197.30283353,-9.83828553082,-1197.30283353,-0.0809918605897,9.58974059988
0.57,0.28557,0.0227600020393,22.7600020393,1199.95419345,-9.86443952695,-1199.95419345,-0.0536244228676,9.62106884676
0.572,0.286572,0.0227584247538,22.7584247538,1197.1372407,-9.8628622415,-1197.1372407,-0.026018051837,9.61919463763
0.574,0.287574,0.0227293969696,22.7293969696,1189.17094559,-9.83383445725,-1189.17094559,0.00157673942399,9.58461035632
0.576,0.288576,0.0226733953727,22.6733953727,1176.41503799,-9.77783286042,-1176.41503799,0.0289130215079,9.51845242612
0.578,0.289578,0.0225910312526,22.5910312526,1159.0477748,-9.69546874025,-1159.0477748,0.055791297433,9.42238061126
0.58,0.29058,0.0224830517389,22.4830517389,1137.40926673,-9.58748922661,-1137.40926673,0.0820586942828,9.29852554226
0.582,0.291582,0.0223503396313,22.3503396313,1112.09482383,-9.45477711894,-1112.09482383,0.107580083971,9.14940420904
0.584,0.292584,0.0221938926763,22.1938926763,1083.8512761,-9.29833016394,-1083.8512761,0.132226212786,8.97778673738
0.586,0.293586,0.0220147988834,22.0147988834,1053.40388389,-9.11923637108,-1053.40388389,0.15588361278,8.78656340447
0.588,0.294588,0.0218142351842,21.8142351842,1021.19035919,-8.91867267189,-1021.19035919,0.178455272872,8.57868031476
0.59,0.29559,0.0215934602028,21.5934602028,987.458496323,-8.69789769046,-987.458496323,0.199854238352,8.35710864217
0.592,0.296592,0.0213537573028,21.3537573028,952.711409231,-8.45819479049,-952.711409231,0.220013899174,8.12472854229
0.594,0.297594,0.0210964264041,21.0964264041,917.559545713,-8.20086389175,-917.559545713,0.238895085997,7.88423192393
0.596,0.298596,0.0208228365974,20.8228365974,882.458657175,-7.92727408505,-882.458657175,0.256463121281,7.63812903132
0.598,0.299598,0.0205344031254,20.5344031254,847.869212463,-7.63884061309,-847.869212463,0.27267150431,7.38870348454
0.6,0.3006,0.0202325048961,20.2325048961,813.952009159,-7.33694238382,-813.952009159,0.287492018349,7.13795617878
0.602,0.301602,0.0199184511962,19.9184511962,780.710479682,-7.02288868386,-780.710479682,0.300946424588,6.8876419921
0.604,0.302604,0.0195935132923,19.5935132923,748.191312527,-6.69795077999,-748.191312527,0.313084888107,6.63932154496
0.606,0.303606,0.019258976977,19.258976977,716.539422271,-6.36341446466,-716.539422271,0.323938995944,6.39438533217
0.608,0.304608,0.0189161094716,18.9161094716,686.04670564,-6.02054695925,-686.04670564,0.33351977774,6.15398979842
0.61,0.30561,0.0185661126984,18.5661126984,657.005434894,-5.67055018604,-657.005434894,0.341849888106,5.91900213392
0.612,0.306612,0.0182101524094,18.2101524094,629.620161102,-5.31458989711,-629.620161102,0.348971925477,5.69004248309
0.614,0.307614,0.0178493571021,17.8493571021,603.752213318,-4.95379458982,-603.752213318,0.354931001024,5.46757027165
0.616,0.308616,0.0174847424165,17.4847424165,579.023222165,-4.58917990415,-579.023222165,0.359786600877,5.25195997691
0.618,0.309618,0.0171171884009,17.1171884009,555.218343881,-4.22162588855,-555.218343881,0.363635708193,5.04352534592
0.62,0.31062,0.0167474688423,16.7474688423,532.444210107,-3.85190632995,-532.444210107,0.366598165612,4.84246865283
0.622,0.311622,0.0163763173754,16.3763173754,510.903043039,-3.48075486304,-510.903043039,0.368768900055,4.6488529306
0.624,0.312624,0.0160043917765,16.0043917765,490.462487537,-3.10882926419,-490.462487537,0.37021834757,4.46263715752
0.626,0.313626,0.0156321605248,15.6321605248,470.931878897,-2.73659801249,-470.931878897,0.371045539366,4.28370577262
0.628,0.314628,0.0152599198541,15.2599198541,452.287670788,-2.36435734174,-452.287670788,0.371400612527,4.11187391104
0.63,0.31563,0.0148879678215,14.8879678215,434.530594775,-1.9924053092,-434.530594775,0.371408430567,3.94694374658
0.632,0.316632,0.0145167554828,14.5167554828,417.464573574,-1.62119297053,-417.464573574,0.371073552259,3.78880293
0.634,0.317634,0.014146845932,14.146845932,400.807355642,-1.25128341972,-400.807355642,0.370300372329,3.6374521833
0.636,0.318636,0.0137788111422,13.7788111422,384.455960837,-0.883248629884,-384.455960837,0.368995727089,3.49294062944
0.638,0.319638,0.0134132297644,13.4132297644,368.616863329,-0.517667252082,-368.616863329,0.367120826064,3.35527466181
0.64,0.32064,0.0130506881685,13.0506881685,353.651537898,-0.155125656167,-353.651537898,0.364668118621,3.22433585707
0.642,0.321642,0.0126916474343,12.6916474343,339.857954159,0.203915078026,-339.857954159,0.361670069232,3.0998239231
0.644,0.322644,0.0123363128938,12.3363128938,327.241288811,0.559249618521,-327.241288811,0.358251283712,2.98129018139
0.646,0.323646,0.0119846828195,11.9846828195,315.286636681,0.910879692783,-315.286636681,0.354613742865,2.86831285142
0.648,0.324648,0.0116367277172,11.6367277172,303.54495177,1.25883479513,-303.54495177,0.350924892252,2.76063904113
0.65,0.32565,0.0112925274237,11.2925274237,291.99512292,1.60303508861,-291.99512292,0.347224566879,2.65813537754
0.652,0.326652,0.0109522453253,10.9522453253,280.71978956,1.94331718706,-280.71978956,0.343452002132,2.56068176563
0.654,0.327654,0.0106160528657,10.6160528657,269.64208926,2.27950964659,-269.64208926,0.33953869119,2.46815651458
0.656,0.328656,0.0102841597504,10.2841597504,258.667571453,2.61140276194,-258.667571453,0.335445148162,2.38047340387
0.658,0.329658,0.00995687333168,9.95687333168,247.93486637,2.93868918063,-247.93486637,0.331124427971,2.29755886519
0.66,0.33066,0.00963456298019,9.63456298019,237.666028227,3.26099953212,-237.666028227,0.326507365165,2.21928896102
0.662,0.331662,0.00931758277383,9.31758277383,227.973451223,3.57797973848,-227.973451223,0.321544603806,2.14547690995
0.664,0.332664,0.00900622832561,9.00622832561,218.775235324,3.8893341867,-218.775235324,0.3162414206,2.07591564461
0.666,0.333666,0.00870076950823,8.70076950823,209.943079088,4.19479300408,-209.943079088,0.310633570086,2.01042509929
0.668,0.334668,0.00840142947123,8.40142947123,201.45983143,4.49413304108,-201.45983143,0.304762805111,1.94883792242
0.67,0.33567,0.00810833176578,8.10833176578,193.37776598,4.78723074653,-193.37776598,0.298685308122,1.89096289898
0.672,0.336672,0.00782151747569,7.82151747569,185.752169732,5.07404503662,-185.752169732,0.292479663594,1.83658161257
0.674,0.337674,0.00754096156927,7.54096156927,178.467263164,5.35460094304,-178.467263164,0.286228418021,1.78547895632
0.676,0.338676,0.00726658496563,7.26658496563,171.307493337,5.62897754668,-171.307493337,0.279998753434,1.7374836489
0.678,0.339678,0.00699828859435,6.99828859435,164.249013287,5.89727391796,-164.249013287,0.273837986452,1.69245937839
0.68,0.34068,0.00673598594482,6.73598594482,157.463746422,6.15957656749,-157.463746422,0.267766423701,1.65025685942
0.682,0.341682,0.00647961355696,6.47961355696,151.070498291,6.41594895535,-151.070498291,0.261778030276,1.61069820714
0.684,0.342684,0.00622911033136,6.22911033136,145.014223795,6.66645218095,-145.014223795,0.25585910244,1.57360488218
0.686,0.343686,0.0059844241658,5.9844241658,139.148854133,6.91113834651,-139.148854133,0.249999131236,1.53883162709
0.688,0.344688,0.00574552264675,5.74552264675,133.400112167,7.15003986556,-133.400112167,0.24418793891,1.50626780553
0.69,0.34569,0.00551237054117,5.51237054117,127.751573208,7.38319197114,-127.751573208,0.238415785358,1.47581634744
0.692,0.346692,0.00528493569648,5.28493569648,122.214312438,7.61062681583,-122.214312438,0.232677008822,1.44738365511
0.694,0.347694,0.00506320506255,5.06320506255,116.785948491,7.83235744976,-116.785948491,0.226965522121,1.42087978131
0.696,0.348696,0.00484719962451,4.84719962451,111.392847669,8.0483628878,-111.392847669,0.221262524664,1.3962288697
0.698,0.349698,0.00463700433317,4.63700433317,106.027756097,8.25855817914,-106.027756097,0.215529502501,1.37337143532
0.7,0.3507,0.00443274734332,4.43274734332,100.750456095,8.46281516899,-100.750456095,0.209717739021,1.35224643232
0.702,0.351702,0.00423455822429,4.23455822429,95.670226814,8.66100428802,-95.670226814,0.203790432272,1.33277529519
0.704,0.352704,0.00404253432314,4.04253432314,90.8770454919,8.85302818918,-90.8770454919,0.19774386962,1.3148579284
