phase,time_s,displacement_m,displacement_mm,force_n,position_mm_raw,force_n_raw,velocity_m_s,cycle_energy_j
4.540000000000000147e-01,2.270000000000001183e-01,3.149945661650708096e-03,3.149945661650708217e+00,8.819415173785617412e+01,9.739202602185542901e+00,-8.819415173785617412e+01,2.348298075460810708e-01,1.532821648372699741e-01
4.560000000000000164e-01,2.280000000000001192e-01,3.390493259162863111e-03,3.390493259162862927e+00,9.499162900070083992e+01,9.498655004673388191e+00,-9.499162900070083992e+01,2.462297794174084231e-01,1.753146162408499853e-01
4.580000000000000182e-01,2.290000000000001201e-01,3.642405220485525272e-03,3.642405220485525064e+00,1.022021253632770197e+02,9.246743043350726055e+00,-1.022021253632770197e+02,2.575442922252801914e-01,2.001523532401731365e-01
4.600000000000000200e-01,2.300000000000001210e-01,3.905581843613424326e-03,3.905581843613424198e+00,1.099089004074730553e+02,8.983566420222826920e+00,-1.099089004074730553e+02,2.687443421508528552e-01,2.280636872807745852e-01
4.620000000000000218e-01,2.310000000000001219e-01,4.179893904787231745e-03,4.179893904787231662e+00,1.180364031740746924e+02,8.709254359049019456e+00,-1.180364031740746924e+02,2.797977024513700339e-01,2.593277605145368758e-01
4.640000000000000235e-01,2.320000000000001228e-01,4.465177248516164973e-03,4.465177248516164710e+00,1.265679362682107580e+02,8.423971015320086408e+00,-1.265679362682107580e+02,2.906808812862222702e-01,2.942185320069853893e-01
4.660000000000000253e-01,2.330000000000001237e-01,4.761255667359676896e-03,4.761255667359677091e+00,1.354278465173979953e+02,8.127892596476574028e+00,-1.354278465173979953e+02,3.014292053165976704e-01,3.330041781161082737e-01
4.680000000000000271e-01,2.340000000000001246e-01,5.068035659149361209e-03,5.068035659149360939e+00,1.448940516162576273e+02,7.821112604686890180e+00,-1.448940516162576273e+02,3.121357495450451935e-01,3.760027423532099622e-01
4.700000000000000289e-01,2.350000000000001255e-01,5.385527166449767360e-03,5.385527166449767478e+00,1.544483072628167974e+02,7.503621097386483640e+00,-1.544483072628167974e+02,3.228783363066605183e-01,4.235220641732230784e-01
4.720000000000000306e-01,2.360000000000001263e-01,5.713792331762682086e-03,5.713792331762681975e+00,1.633527778895129074e+02,7.175355932073569143e+00,-1.633527778895129074e+02,3.337379375129705394e-01,4.756835936950846166e-01
4.740000000000000324e-01,2.370000000000001272e-01,6.053003041475709528e-03,6.053003041475709445e+00,1.727796716026891488e+02,6.836145222360541673e+00,-1.727796716026891488e+02,3.447542340462743660e-01,5.326934764012204448e-01
4.760000000000000342e-01,2.380000000000001281e-01,6.403300799855232185e-03,6.403300799855232484e+00,1.836220124394863262e+02,6.485847463981018635e+00,-1.836220124394863262e+02,3.557996647969061677e-01,5.951168292954887029e-01
4.780000000000000360e-01,2.390000000000001290e-01,6.764602371069522099e-03,6.764602371069521780e+00,1.947014147983120154e+02,6.124545892766729338e+00,-1.947014147983120154e+02,3.666724674590473576e-01,6.634612608768100106e-01
4.799999999999999822e-01,2.400000000000001021e-01,7.136645734773317332e-03,7.136645734773317429e+00,2.061486299724258231e+02,5.752502529062933689e+00,-2.061486299724258231e+02,3.772283234814683972e-01,7.380280678831390162e-01
4.819999999999999840e-01,2.410000000000001030e-01,7.519059018032448610e-03,7.519059018032448805e+00,2.177541335722761460e+02,5.370089245803802314e+00,-2.177541335722761460e+02,3.873713083254530787e-01,8.190810922101734448e-01
4.839999999999999858e-01,2.420000000000001039e-01,7.911388351424224891e-03,7.911388351424224474e+00,2.289494940004834120e+02,4.977759912412026644e+00,-2.289494940004834120e+02,3.970120240382031263e-01,9.067085857276482308e-01
4.859999999999999876e-01,2.430000000000001048e-01,8.313083066108855126e-03,8.313083066108855945e+00,2.424331462988876069e+02,4.576065197727396949e+00,-2.424331462988876069e+02,4.060581381414607449e-01,1.001384567376329526e+00
4.879999999999999893e-01,2.440000000000001057e-01,8.723504627707146658e-03,8.723504627707146852e+00,2.578035918087780942e+02,4.165643636129104266e+00,-2.578035918087780942e+02,4.144471673719891669e-01,1.104038535389015419e+00
4.899999999999999911e-01,2.450000000000001066e-01,9.141977400852834348e-03,9.141977400852834279e+00,2.738543322358667638e+02,3.747170862983416395e+00,-2.738543322358667638e+02,4.221507224846252626e-01,1.215280715846186688e+00
4.919999999999999929e-01,2.460000000000001075e-01,9.567806072676397766e-03,9.567806072676397378e+00,2.890627070604941764e+02,3.321342191159854629e+00,-2.890627070604941764e+02,4.291410522421177376e-01,1.335133823768918537e+00
