phase,displacement_m,measured_force_n,simulated_force_n
2.159999999999999976e-01,2.756165604620015820e-04,1.466297835463276655e+01,8.117243156433602280e+00
2.179999999999999993e-01,2.755921893885009350e-04,1.470130684676822241e+01,8.126881103516126359e+00
2.200000000000000011e-01,2.755703109452518527e-04,1.472538493760978540e+01,8.136369132996097875e+00
2.220000000000000029e-01,2.755425515936007499e-04,1.472981112746476029e+01,8.145673217773900632e+00
2.240000000000000047e-01,2.755072652818526678e-04,1.469282158074438271e+01,8.154537315369108086e+00
2.260000000000000064e-01,2.754672777014519460e-04,1.467562524565673598e+01,8.163156089783157654e+00
2.280000000000000082e-01,2.754197541442522548e-04,1.467579518112586001e+01,8.171314239502375898e+00
2.300000000000000100e-01,2.753593849705495561e-04,1.466915555936596505e+01,8.178998756409084692e+00
2.320000000000000118e-01,2.752860075401510867e-04,1.464133219906486616e+01,8.186203346252813873e+00
2.340000000000000135e-01,2.752092638178514085e-04,1.461329360249420617e+01,8.193085289001821536e+00
2.360000000000000153e-01,2.751397740365018143e-04,1.459423539696470229e+01,8.200166587829965437e+00
2.380000000000000171e-01,2.750817481284499686e-04,1.459493331898299218e+01,8.207430381775285611e+00
2.399999999999999911e-01,2.750321409131508636e-04,1.461350919043517749e+01,8.214852523804109907e+00
2.419999999999999929e-01,2.749874015793523198e-04,1.472994325014076722e+01,8.222338409424231997e+00
2.439999999999999947e-01,2.749475350812513835e-04,1.483392961146880751e+01,8.229898376465245136e+00
2.459999999999999964e-01,2.749117318526011155e-04,1.486223941296071516e+01,8.237473258972562107e+00
2.479999999999999982e-01,2.748748822248998891e-04,1.486601343644164430e+01,8.244922294617078151e+00
2.500000000000000000e-01,2.748316238593009279e-04,1.486456451309419080e+01,8.252047538757674161e+00
2.520000000000000018e-01,2.747802497229514325e-04,1.484352440910632609e+01,8.258716583252310173e+00
2.540000000000000036e-01,2.747198749374000202e-04,1.479541180578793202e+01,8.265058250427575359e+00
2.560000000000000053e-01,2.746538821221520448e-04,1.474269173890404616e+01,8.271071853638005678e+00
2.580000000000000071e-01,2.745839925300011227e-04,1.472926118400672024e+01,8.276940460205382877e+00
2.600000000000000089e-01,2.745111279094025942e-04,1.471262486829867200e+01,8.282530403137496222e+00
2.620000000000000107e-01,2.744381315933512914e-04,1.462563580271415375e+01,8.288038444519337133e+00
2.640000000000000124e-01,2.743668741898517551e-04,1.458033808449473767e+01,8.293505706787398069e+00
2.660000000000000142e-01,2.742963111564513984e-04,1.467285701417428712e+01,8.298873252868935069e+00
2.680000000000000160e-01,2.742211084660510848e-04,1.474813147319902740e+01,8.304088363647727178e+00
2.700000000000000178e-01,2.741410586823001113e-04,1.471501551554831977e+01,8.308946990967067237e+00
2.720000000000000195e-01,2.740652032794006765e-04,1.467897356156271726e+01,8.313910675049108079e+00
2.740000000000000213e-01,2.739995543397508908e-04,1.470250812143369856e+01,8.319130668640415394e+00
2.760000000000000231e-01,2.739421163856015150e-04,1.470510570452890065e+01,8.324409599304486207e+00
2.780000000000000249e-01,2.738888926225513582e-04,1.468678297401469379e+01,8.329901390075976408e+00
2.800000000000000266e-01,2.738391008115002119e-04,1.466683434782712325e+01,8.335342597961718170e+00
2.820000000000000284e-01,2.737957709178502445e-04,1.466161390937937270e+01,8.340901679992974493e+00
2.840000000000000302e-01,2.737580163170499014e-04,1.462324703715738750e+01,8.346587829590150776e+00
2.860000000000000320e-01,2.737253289882524382e-04,1.462246477164239522e+01,8.352315864563303549e+00
2.880000000000000338e-01,2.736973208776003613e-04,1.465608583418706345e+01,8.358116226196599996e+00
2.899999999999999800e-01,2.736686717260496983e-04,1.461604986367965964e+01,8.363788986206349918e+00
2.919999999999999818e-01,2.736318640272017650e-04,1.458168392642970801e+01,8.369140739441194299e+00
2.939999999999999836e-01,2.735823834116004531e-04,1.469148511485434838e+01,8.374032287597900748e+00
2.959999999999999853e-01,2.735201255088011299e-04,1.486181158884585685e+01,8.378413696289291224e+00
2.979999999999999871e-01,2.734521843104005295e-04,1.492873680409583770e+01,8.382497253418193850e+00
2.999999999999999889e-01,2.733887674375008693e-04,1.490828962650815370e+01,8.386627197265859479e+00
3.019999999999999907e-01,2.733303184530022634e-04,1.488818304057935293e+01,8.390914459228747901e+00
3.039999999999999925e-01,2.732696756816004350e-04,1.491830914730411806e+01,8.395002670288311819e+00
3.059999999999999942e-01,2.732035675959015061e-04,1.494024293031630535e+01,8.398823242187699378e+00
3.079999999999999960e-01,2.731356024561506471e-04,1.498002774032521600e+01,8.402539787292676365e+00
3.099999999999999978e-01,2.730695440213501825e-04,1.500370357235326324e+01,8.406246757507528145e+00
3.119999999999999996e-01,2.730043895513514394e-04,1.500365065400162834e+01,8.409867744445987725e+00
3.140000000000000013e-01,2.729360929475515012e-04,1.495509068062043312e+01,8.413402824402050229e+00
3.160000000000000031e-01,2.728695504804505762e-04,1.485306429382411508e+01,8.416865997314657122e+00
3.180000000000000049e-01,2.728148532877518921e-04,1.476956274093344135e+01,8.420643348694072827e+00
3.200000000000000067e-01,2.727687715954019393e-04,1.477346720595948071e+01,8.424598693847865860e+00
3.220000000000000084e-01,2.727182329779012128e-04,1.479979064470227357e+01,8.428385810852242699e+00
3.240000000000000102e-01,2.726553970947520568e-04,1.477076482664004331e+01,8.431738128662260578e+00
3.260000000000000120e-01,2.725775637825513810e-04,1.471344528813976282e+01,8.434467315673977339e+00
3.280000000000000138e-01,2.724912066384010826e-04,1.471152380593494868e+01,8.436889572143686067e+00
3.300000000000000155e-01,2.724050401516002842e-04,1.483445863766214856e+01,8.439240074157844163e+00
3.320000000000000173e-01,2.723195474837006064e-04,1.497215360043209742e+01,8.441520538330202328e+00
3.340000000000000191e-01,2.722306727886518712e-04,1.500742318543806064e+01,8.443627014160275834e+00
3.360000000000000209e-01,2.721379569782520543e-04,1.498232282599818532e+01,8.445588684082135700e+00
3.380000000000000226e-01,2.720437501713011334e-04,1.498781152716384568e+01,8.447398948669523122e+00
3.400000000000000244e-01,2.719473656547499989e-04,1.495148414101361212e+01,8.449083137512291231e+00
3.420000000000000262e-01,2.718438925486523568e-04,1.487072236018176241e+01,8.450428733825749106e+00
3.440000000000000280e-01,2.717277941401512447e-04,1.484504556940021658e+01,8.451350746154822957e+00
3.460000000000000298e-01,2.716000758276493235e-04,1.489971857679076450e+01,8.451855888366708314e+00
3.480000000000000315e-01,2.714641369561014770e-04,1.492796729564718916e+01,8.452001190185553625e+00
3.500000000000000333e-01,2.713302816882006167e-04,1.493364564289863594e+01,8.452199935913112583e+00
3.519999999999999796e-01,2.712075016245520977e-04,1.490241877607907739e+01,8.452614173889179128e+00
3.539999999999999813e-01,2.710956875603507277e-04,1.484341702093611914e+01,8.453406829834023029e+00
3.559999999999999831e-01,2.709900506167013472e-04,1.482387897369729401e+01,8.454368858337451442e+00
3.579999999999999849e-01,2.708846833395508417e-04,1.487538682469263662e+01,8.455196990966843629e+00
3.599999999999999867e-01,2.707796064304020061e-04,1.488006441386852785e+01,8.456078529357954565e+00
3.619999999999999885e-01,2.706815231063508715e-04,1.480457806633043916e+01,8.457098579406792993e+00
3.639999999999999902e-01,2.705906056928508783e-04,1.474860969810764644e+01,8.458293571472232486e+00
3.659999999999999920e-01,2.705059405802998844e-04,1.480965472289195262e+01,8.459700813293542510e+00
3.679999999999999938e-01,2.704312876899006698e-04,1.486628935062126189e+01,8.461297569275011199e+00
3.699999999999999956e-01,2.703700190865010716e-04,1.479965682009987304e+01,8.463380432129040898e+00
3.719999999999999973e-01,2.703246783761521365e-04,1.476536698620194343e+01,8.465816688537781687e+00
3.739999999999999991e-01,2.703045707251518909e-04,1.484089533725630261e+01,8.469102287292741948e+00
3.760000000000000009e-01,2.703274878912509480e-04,1.488917314404492842e+01,8.473840141296660633e+00
3.780000000000000027e-01,2.704184820403518876e-04,1.478891221687055335e+01,8.480855140686442084e+00
3.800000000000000044e-01,2.706095123115002401e-04,1.459970522821688022e+01,8.491288566589988207e+00
3.820000000000000062e-01,2.709655350690027957e-04,1.442684064109470299e+01,8.507436103821834905e+00
3.840000000000000080e-01,2.716085099864002836e-04,1.417510815478302888e+01,8.533408813478306598e+00
3.860000000000000098e-01,2.727248365859509180e-04,1.370838198242892148e+01,8.575287628176733179e+00
3.880000000000000115e-01,2.745585092007054684e-04,1.308372659535107019e+01,8.640962409977788639e+00
3.900000000000000133e-01,2.773911753716511619e-04,1.242918394451749364e+01,8.739644813544632740e+00
3.920000000000000151e-01,2.815285414288446484e-04,1.179243332065036398e+01,8.881134109507181407e+00
3.940000000000000169e-01,2.872931799649620834e-04,1.112205609885691970e+01,9.075928611769304766e+00
3.960000000000000187e-01,2.950267559018833409e-04,1.043690830271959413e+01,9.335219116229511727e+00
3.980000000000000204e-01,3.051082074622755015e-04,9.769941655944226255e+00,9.671022949242869871e+00
